series,iteration,request_bytes,response_bytes,nanoseconds
round-trip floor (5 B echo),126,5,15,371223
round-trip floor (5 B echo),127,5,15,723007
round-trip floor (5 B echo),128,5,15,660043
round-trip floor (5 B echo),129,5,15,413095
round-trip floor (5 B echo),130,5,15,434478
round-trip floor (5 B echo),131,5,15,402310
round-trip floor (5 B echo),132,5,15,288600
round-trip floor (5 B echo),133,5,15,431994
round-trip floor (5 B echo),134,5,15,541487
round-trip floor (5 B echo),135,5,15,493526
round-trip floor (5 B echo),136,5,15,404423
round-trip floor (5 B echo),137,5,15,492344
round-trip floor (5 B echo),138,5,15,404262
round-trip floor (5 B echo),139,5,15,350562
round-trip floor (5 B echo),140,5,15,329070
round-trip floor (5 B echo),141,5,15,271745
round-trip floor (5 B echo),142,5,15,319296
round-trip floor (5 B echo),143,5,15,265997
round-trip floor (5 B echo),144,5,15,330082
round-trip floor (5 B echo),145,5,15,205476
round-trip floor (5 B echo),146,5,15,424613
round-trip floor (5 B echo),147,5,15,340817
round-trip floor (5 B echo),148,5,15,771680
round-trip floor (5 B echo),149,5,15,711350
round-trip floor (5 B echo),150,5,15,617891
round-trip floor (5 B echo),151,5,15,377412
round-trip floor (5 B echo),152,5,15,405153
round-trip floor (5 B echo),153,5,15,473065
round-trip floor (5 B echo),154,5,15,398283
round-trip floor (5 B echo),155,5,15,541367
round-trip floor (5 B echo),156,5,15,368890
round-trip floor (5 B echo),157,5,15,405004
round-trip floor (5 B echo),158,5,15,465954
round-trip floor (5 B echo),159,5,15,379365
round-trip floor (5 B echo),160,5,15,400367
round-trip floor (5 B echo),161,5,15,333096
round-trip floor (5 B echo),162,5,15,390171
round-trip floor (5 B echo),163,5,15,413576
round-trip floor (5 B echo),164,5,15,289892
round-trip floor (5 B echo),165,5,15,330743
round-trip floor (5 B echo),166,5,15,323472
round-trip floor (5 B echo),167,5,15,376931
round-trip floor (5 B echo),168,5,15,366146
round-trip floor (5 B echo),169,5,15,432765
round-trip floor (5 B echo),170,5,15,397402
round-trip floor (5 B echo),171,5,15,331685
round-trip floor (5 B echo),172,5,15,304163
round-trip floor (5 B echo),173,5,15,361378
round-trip floor (5 B echo),174,5,15,327488
round-trip floor (5 B echo),175,5,15,428759
round-trip floor (5 B echo),176,5,15,342661
round-trip floor (5 B echo),177,5,15,394047
round-trip floor (5 B echo),178,5,15,420187
round-trip floor (5 B echo),179,5,15,344303
round-trip floor (5 B echo),180,5,15,423091
round-trip floor (5 B echo),181,5,15,385174
round-trip floor (5 B echo),182,5,15,334037
round-trip floor (5 B echo),183,5,15,350062
round-trip floor (5 B echo),184,5,15,348038
round-trip floor (5 B echo),185,5,15,297083
round-trip floor (5 B echo),186,5,15,394528
round-trip floor (5 B echo),187,5,15,341920
round-trip floor (5 B echo),188,5,15,277314
round-trip floor (5 B echo),189,5,15,382910
round-trip floor (5 B echo),190,5,15,326637
round-trip floor (5 B echo),191,5,15,439735
round-trip floor (5 B echo),192,5,15,311725
round-trip floor (5 B echo),193,5,15,446295
round-trip floor (5 B echo),194,5,15,339866
round-trip floor (5 B echo),195,5,15,440777
round-trip floor (5 B echo),196,5,15,450221
round-trip floor (5 B echo),197,5,15,446035
round-trip floor (5 B echo),198,5,15,490571
round-trip floor (5 B echo),199,5,15,475659
push 2 KiB,0,2048,45,716678
push 2 KiB,1,2048,45,670169
push 2 KiB,2,2048,45,800984
push 2 KiB,3,2048,45,874534
push 2 KiB,4,2048,45,582628
push 2 KiB,5,2048,45,914362
push 2 KiB,6,2048,45,778861
push 2 KiB,7,2048,45,789387
push 2 KiB,8,2048,45,801714
push 2 KiB,9,2048,45,970045
push 2 KiB,10,2048,45,655116
push 2 KiB,11,2048,45,808445
push 2 KiB,12,2048,45,492474
push 2 KiB,13,2048,45,681425
push 2 KiB,14,2048,45,608207
push 2 KiB,15,2048,45,703118
push 2 KiB,16,2048,45,763047
push 2 KiB,17,2048,45,668386
push 2 KiB,18,2048,45,752671
push 2 KiB,19,2048,45,629038
push 2 KiB,20,2048,45,572714
push 2 KiB,21,2048,45,796136
push 2 KiB,22,2048,45,659193
push 2 KiB,23,2048,45,739482
push 2 KiB,24,2048,45,605994
push 2 KiB,25,2048,45,572473
push 2 KiB,26,2048,45,580214
push 2 KiB,27,2048,45,515057
push 2 KiB,28,2048,45,603639
push 2 KiB,29,2048,45,556369
push 2 KiB,30,2048,45,721165
push 2 KiB,31,2048,45,665512
push 2 KiB,32,2048,45,640285
push 2 KiB,33,2048,45,557080
push 2 KiB,34,2048,45,518413
push 2 KiB,35,2048,45,673995
push 2 KiB,36,2048,45,731550
push 2 KiB,37,2048,45,537411
push 2 KiB,38,2048,45,694445
push 2 KiB,39,2048,45,568447
push 2 KiB,40,2048,45,573655
push 2 KiB,41,2048,45,567466
push 2 KiB,42,2048,45,513956
push 2 KiB,43,2048,45,705441
push 2 KiB,44,2048,45,578411
push 2 KiB,45,2048,45,545463
push 2 KiB,46,2048,45,562689
push 2 KiB,47,2048,45,596409
push 2 KiB,48,2048,45,618923
push 2 KiB,49,2048,45,664200
push 2 KiB,50,2048,45,665622
push 2 KiB,51,2048,45,813262
push 2 KiB,52,2048,45,599764
push 2 KiB,53,2048,45,632002
push 2 KiB,54,2048,45,699353
push 2 KiB,55,2048,45,604330
push 2 KiB,56,2048,45,712933
push 2 KiB,57,2048,45,747404
push 2 KiB,58,2048,45,807614
push 2 KiB,59,2048,45,584812
push 2 KiB,60,2048,45,5482791
push 2 KiB,61,2048,45,1223524
push 2 KiB,62,2048,45,1376631
push 2 KiB,63,2048,45,1497812
push 2 KiB,64,2048,45,1518002
push 2 KiB,65,2048,45,1128231
push 2 KiB,66,2048,45,960191
push 2 KiB,67,2048,45,952379
push 2 KiB,68,2048,45,1469030
push 2 KiB,69,2048,45,1275761
push 2 KiB,70,2048,45,1372576
push 2 KiB,71,2048,45,1114130
push 2 KiB,72,2048,45,1065307
push 2 KiB,73,2048,45,1192658
push 2 KiB,74,2048,45,1283673
push 2 KiB,75,2048,45,1165998
push 2 KiB,76,2048,45,1094531
push 2 KiB,77,2048,45,1089563
push 2 KiB,78,2048,45,991908
push 2 KiB,79,2048,45,950396
push 2 KiB,80,2048,45,1039929
push 2 KiB,81,2048,45,1625382
push 2 KiB,82,2048,45,1448248
push 2 KiB,83,2048,45,1283523
push 2 KiB,84,2048,45,866572
push 2 KiB,85,2048,45,1186027
push 2 KiB,86,2048,45,973010
push 2 KiB,87,2048,45,959450
push 2 KiB,88,2048,45,929014
push 2 KiB,89,2048,45,828966
push 2 KiB,90,2048,45,690649
push 2 KiB,91,2048,45,839251
push 2 KiB,92,2048,45,825981
push 2 KiB,93,2048,45,1007491
push 2 KiB,94,2048,45,939109
push 2 KiB,95,2048,45,859391
push 2 KiB,96,2048,45,862676
push 2 KiB,97,2048,45,772170
push 2 KiB,98,2048,45,853221
push 2 KiB,99,2048,45,671120
push 2 KiB,100,2048,45,918069
push 2 KiB,101,2048,45,722597
push 2 KiB,102,2048,45,978638
push 2 KiB,103,2048,45,753122
push 2 KiB,104,2048,45,932109
push 2 KiB,105,2048,45,988433
push 2 KiB,106,2048,45,891438
push 2 KiB,107,2048,45,977507
push 2 KiB,108,2048,45,1034892
push 2 KiB,109,2048,45,1180419
push 2 KiB,110,2048,45,1032919
push 2 KiB,111,2048,45,826471
push 2 KiB,112,2048,45,972149
push 2 KiB,113,2048,45,1014802
push 2 KiB,114,2048,45,981703
push 2 KiB,115,2048,45,1115382
push 2 KiB,116,2048,45,1171356
push 2 KiB,117,2048,45,870248
push 2 KiB,118,2048,45,928133
push 2 KiB,119,2048,45,927493
push 2 KiB,120,2048,45,921754
push 2 KiB,121,2048,45,927121
push 2 KiB,122,2048,45,725902
push 2 KiB,123,2048,45,909035
push 2 KiB,124,2048,45,851429
push 2 KiB,125,2048,45,951839
push 2 KiB,126,2048,45,906210
push 2 KiB,127,2048,45,1034452
push 2 KiB,128,2048,45,1148772
push 2 KiB,129,2048,45,1253448
push 2 KiB,130,2048,45,1158877
push 2 KiB,131,2048,45,1037206
push 2 KiB,132,2048,45,1348510
push 2 KiB,133,2048,45,1453156
push 2 KiB,134,2048,45,1682377
push 2 KiB,135,2048,45,919100
push 2 KiB,136,2048,45,1008202
push 2 KiB,137,2048,45,1392926
push 2 KiB,138,2048,45,1071086
push 2 KiB,139,2048,45,904418
push 2 KiB,140,2048,45,809407
push 2 KiB,141,2048,45,906852
push 2 KiB,142,2048,45,1308860
push 2 KiB,143,2048,45,831629
push 2 KiB,144,2048,45,951538
push 2 KiB,145,2048,45,966941
push 2 KiB,146,2048,45,1177415
push 2 KiB,147,2048,45,1279336
push 2 KiB,148,2048,45,1044377
push 2 KiB,149,2048,45,1099188
push 2 KiB,150,2048,45,1161862
push 2 KiB,151,2048,45,1248391
push 2 KiB,152,2048,45,900863
push 2 KiB,153,2048,45,1305386
push 2 KiB,154,2048,45,1370262
push 2 KiB,155,2048,45,1375570
push 2 KiB,156,2048,45,1092629
push 2 KiB,157,2048,45,916256
push 2 KiB,158,2048,45,1139818
push 2 KiB,159,2048,45,1022163
push 2 KiB,160,2048,45,1022204
push 2 KiB,161,2048,45,804489
push 2 KiB,162,2048,45,1058057
push 2 KiB,163,2048,45,1297494
push 2 KiB,164,2048,45,1072068
push 2 KiB,165,2048,45,951438
push 2 KiB,166,2048,45,799622
push 2 KiB,167,2048,45,703839
push 2 KiB,168,2048,45,833432
push 2 KiB,169,2048,45,768214
push 2 KiB,170,2048,45,1029054
push 2 KiB,171,2048,45,1126348
push 2 KiB,172,2048,45,994953
push 2 KiB,173,2048,45,873842
push 2 KiB,174,2048,45,880412
push 2 KiB,175,2048,45,887803
push 2 KiB,176,2048,45,1227089
push 2 KiB,177,2048,45,1049664
push 2 KiB,178,2048,45,758150
push 2 KiB,179,2048,45,1205176
push 2 KiB,180,2048,45,1209692
push 2 KiB,181,2048,45,821104
push 2 KiB,182,2048,45,729127
push 2 KiB,183,2048,45,688807
push 2 KiB,184,2048,45,1217445
push 2 KiB,185,2048,45,1200049
push 2 KiB,186,2048,45,1576780
push 2 KiB,187,2048,45,1503450
push 2 KiB,188,2048,45,1620104
push 2 KiB,189,2048,45,1744050
push 2 KiB,190,2048,45,1657170
push 2 KiB,191,2048,45,1449300
push 2 KiB,192,2048,45,1280949
push 2 KiB,193,2048,45,1071116
push 2 KiB,194,2048,45,1019539
push 2 KiB,195,2048,45,1205327
push 2 KiB,196,2048,45,953081
push 2 KiB,197,2048,45,972639
push 2 KiB,198,2048,45,1201130
push 2 KiB,199,2048,45,1109764
echo 2 KiB,0,2048,2058,734886
echo 2 KiB,1,2048,2058,622918
echo 2 KiB,2,2048,2058,891829
echo 2 KiB,3,2048,2058,749266
echo 2 KiB,4,2048,2058,799882
echo 2 KiB,5,2048,2058,1030786
echo 2 KiB,6,2048,2058,820723
echo 2 KiB,7,2048,2058,720224
echo 2 KiB,8,2048,2058,783057
echo 2 KiB,9,2048,2058,986099
echo 2 KiB,10,2048,2058,757960
echo 2 KiB,11,2048,2058,967061
echo 2 KiB,12,2048,2058,1118256
echo 2 KiB,13,2048,2058,602517
echo 2 KiB,14,2048,2058,640364
echo 2 KiB,15,2048,2058,915905
echo 2 KiB,16,2048,2058,826522
echo 2 KiB,17,2048,2058,627906
echo 2 KiB,18,2048,2058,740594
echo 2 KiB,19,2048,2058,718661
echo 2 KiB,20,2048,2058,801364
echo 2 KiB,21,2048,2058,976285
echo 2 KiB,22,2048,2058,1739232
echo 2 KiB,23,2048,2058,4533547
echo 2 KiB,24,2048,2058,2177244
echo 2 KiB,25,2048,2058,1717049
echo 2 KiB,26,2048,2058,1860563
echo 2 KiB,27,2048,2058,1939771
echo 2 KiB,28,2048,2058,1245516
echo 2 KiB,29,2048,2058,1563881
echo 2 KiB,30,2048,2058,1789858
echo 2 KiB,31,2048,2058,1439576
echo 2 KiB,32,2048,2058,979560
echo 2 KiB,33,2048,2058,657149
echo 2 KiB,34,2048,2058,1040861
echo 2 KiB,35,2048,2058,1447457
echo 2 KiB,36,2048,2058,861534
echo 2 KiB,37,2048,2058,1374829
echo 2 KiB,38,2048,2058,1401478
echo 2 KiB,39,2048,2058,961342
echo 2 KiB,40,2048,2058,1235291
echo 2 KiB,41,2048,2058,822245
echo 2 KiB,42,2048,2058,1162362
echo 2 KiB,43,2048,2058,744680
echo 2 KiB,44,2048,2058,914293
echo 2 KiB,45,2048,2058,1051667
echo 2 KiB,46,2048,2058,695937
echo 2 KiB,47,2048,2058,1060511
echo 2 KiB,48,2048,2058,804499
echo 2 KiB,49,2048,2058,910227
echo 2 KiB,50,2048,2058,864348
echo 2 KiB,51,2048,2058,803948
echo 2 KiB,52,2048,2058,909105
echo 2 KiB,53,2048,2058,1013300
echo 2 KiB,54,2048,2058,827103
echo 2 KiB,55,2048,2058,919770
echo 2 KiB,56,2048,2058,927092
echo 2 KiB,57,2048,2058,716388
echo 2 KiB,58,2048,2058,831319
echo 2 KiB,59,2048,2058,793072
echo 2 KiB,60,2048,2058,746763
echo 2 KiB,61,2048,2058,914453
echo 2 KiB,62,2048,2058,1220889
echo 2 KiB,63,2048,2058,928804
echo 2 KiB,64,2048,2058,912890
echo 2 KiB,65,2048,2058,888324
echo 2 KiB,66,2048,2058,994692
echo 2 KiB,67,2048,2058,878689
echo 2 KiB,68,2048,2058,1190825
echo 2 KiB,69,2048,2058,1041812
echo 2 KiB,70,2048,2058,890628
echo 2 KiB,71,2048,2058,1019309
echo 2 KiB,72,2048,2058,1034581
echo 2 KiB,73,2048,2058,1005409
echo 2 KiB,74,2048,2058,815906
echo 2 KiB,75,2048,2058,793102
echo 2 KiB,76,2048,2058,760954
echo 2 KiB,77,2048,2058,986650
echo 2 KiB,78,2048,2058,981453
echo 2 KiB,79,2048,2058,1095443
echo 2 KiB,80,2048,2058,1158496
echo 2 KiB,81,2048,2058,725922
echo 2 KiB,82,2048,2058,747484
echo 2 KiB,83,2048,2058,580826
echo 2 KiB,84,2048,2058,854293
echo 2 KiB,85,2048,2058,948614
echo 2 KiB,86,2048,2058,956796
echo 2 KiB,87,2048,2058,791600
echo 2 KiB,88,2048,2058,843337
echo 2 KiB,89,2048,2058,1031707
echo 2 KiB,90,2048,2058,792511
echo 2 KiB,91,2048,2058,1071376
echo 2 KiB,92,2048,2058,1451954
echo 2 KiB,93,2048,2058,1103965
echo 2 KiB,94,2048,2058,1316231
echo 2 KiB,95,2048,2058,1177045
echo 2 KiB,96,2048,2058,1259437
echo 2 KiB,97,2048,2058,967872
echo 2 KiB,98,2048,2058,1033139
echo 2 KiB,99,2048,2058,1403171
echo 2 KiB,100,2048,2058,1195872
echo 2 KiB,101,2048,2058,1603149
echo 2 KiB,102,2048,2058,977977
echo 2 KiB,103,2048,2058,1056034
echo 2 KiB,104,2048,2058,844588
echo 2 KiB,105,2048,2058,821955
echo 2 KiB,106,2048,2058,734885
echo 2 KiB,107,2048,2058,764579
echo 2 KiB,108,2048,2058,850999
echo 2 KiB,109,2048,2058,841915
echo 2 KiB,110,2048,2058,979029
echo 2 KiB,111,2048,2058,863958
echo 2 KiB,112,2048,2058,853652
echo 2 KiB,113,2048,2058,679693
echo 2 KiB,114,2048,2058,968514
echo 2 KiB,115,2048,2058,767654
echo 2 KiB,116,2048,2058,842295
echo 2 KiB,117,2048,2058,763438
