series,iteration,request_bytes,response_bytes,nanoseconds
round-trip floor (5 B echo),0,5,15,580675
round-trip floor (5 B echo),1,5,15,608747
round-trip floor (5 B echo),2,5,15,700694
round-trip floor (5 B echo),3,5,15,625442
round-trip floor (5 B echo),4,5,15,582498
round-trip floor (5 B echo),5,5,15,452685
round-trip floor (5 B echo),6,5,15,666823
round-trip floor (5 B echo),7,5,15,857277
round-trip floor (5 B echo),8,5,15,757029
round-trip floor (5 B echo),9,5,15,725351
round-trip floor (5 B echo),10,5,15,584441
round-trip floor (5 B echo),11,5,15,428298
round-trip floor (5 B echo),12,5,15,525513
round-trip floor (5 B echo),13,5,15,462028
round-trip floor (5 B echo),14,5,15,520626
round-trip floor (5 B echo),15,5,15,622368
round-trip floor (5 B echo),16,5,15,576149
round-trip floor (5 B echo),17,5,15,378384
round-trip floor (5 B echo),18,5,15,691200
round-trip floor (5 B echo),19,5,15,456931
round-trip floor (5 B echo),20,5,15,457021
round-trip floor (5 B echo),21,5,15,539795
round-trip floor (5 B echo),22,5,15,663408
round-trip floor (5 B echo),23,5,15,500616
round-trip floor (5 B echo),24,5,15,510070
round-trip floor (5 B echo),25,5,15,634165
round-trip floor (5 B echo),26,5,15,771229
round-trip floor (5 B echo),27,5,15,390692
round-trip floor (5 B echo),28,5,15,549969
round-trip floor (5 B echo),29,5,15,390461
round-trip floor (5 B echo),30,5,15,435859
round-trip floor (5 B echo),31,5,15,424543
round-trip floor (5 B echo),32,5,15,555377
round-trip floor (5 B echo),33,5,15,354729
round-trip floor (5 B echo),34,5,15,518773
round-trip floor (5 B echo),35,5,15,542438
round-trip floor (5 B echo),36,5,15,705382
round-trip floor (5 B echo),37,5,15,795786
round-trip floor (5 B echo),38,5,15,681445
round-trip floor (5 B echo),39,5,15,538662
round-trip floor (5 B echo),40,5,15,764960
round-trip floor (5 B echo),41,5,15,830107
round-trip floor (5 B echo),42,5,15,827093
round-trip floor (5 B echo),43,5,15,503360
round-trip floor (5 B echo),44,5,15,743899
round-trip floor (5 B echo),45,5,15,672112
round-trip floor (5 B echo),46,5,15,521207
round-trip floor (5 B echo),47,5,15,800153
round-trip floor (5 B echo),48,5,15,805169
round-trip floor (5 B echo),49,5,15,751350
round-trip floor (5 B echo),50,5,15,446896
round-trip floor (5 B echo),51,5,15,689628
round-trip floor (5 B echo),52,5,15,2763608
round-trip floor (5 B echo),53,5,15,2034262
round-trip floor (5 B echo),54,5,15,1196673
round-trip floor (5 B echo),55,5,15,830408
round-trip floor (5 B echo),56,5,15,742066
round-trip floor (5 B echo),57,5,15,720253
round-trip floor (5 B echo),58,5,15,951929
round-trip floor (5 B echo),59,5,15,601146
round-trip floor (5 B echo),60,5,15,966110
round-trip floor (5 B echo),61,5,15,647255
round-trip floor (5 B echo),62,5,15,735807
round-trip floor (5 B echo),63,5,15,705972
round-trip floor (5 B echo),64,5,15,521888
round-trip floor (5 B echo),65,5,15,588056
round-trip floor (5 B echo),66,5,15,932360
round-trip floor (5 B echo),67,5,15,755896
round-trip floor (5 B echo),68,5,15,774134
round-trip floor (5 B echo),69,5,15,511472
round-trip floor (5 B echo),70,5,15,879300
round-trip floor (5 B echo),71,5,15,788215
round-trip floor (5 B echo),72,5,15,606524
round-trip floor (5 B echo),73,5,15,488498
round-trip floor (5 B echo),74,5,15,370722
round-trip floor (5 B echo),75,5,15,492213
round-trip floor (5 B echo),76,5,15,431253
round-trip floor (5 B echo),77,5,15,518863
round-trip floor (5 B echo),78,5,15,433886
round-trip floor (5 B echo),79,5,15,393537
round-trip floor (5 B echo),80,5,15,372485
round-trip floor (5 B echo),81,5,15,421628
round-trip floor (5 B echo),82,5,15,352025
round-trip floor (5 B echo),83,5,15,355099
round-trip floor (5 B echo),84,5,15,487827
round-trip floor (5 B echo),85,5,15,332255
round-trip floor (5 B echo),86,5,15,402530
round-trip floor (5 B echo),87,5,15,554086
round-trip floor (5 B echo),88,5,15,390663
round-trip floor (5 B echo),89,5,15,378875
round-trip floor (5 B echo),90,5,15,421368
round-trip floor (5 B echo),91,5,15,493566
round-trip floor (5 B echo),92,5,15,409090
round-trip floor (5 B echo),93,5,15,393186
round-trip floor (5 B echo),94,5,15,339706
round-trip floor (5 B echo),95,5,15,431663
round-trip floor (5 B echo),96,5,15,637069
round-trip floor (5 B echo),97,5,15,417832
round-trip floor (5 B echo),98,5,15,392585
round-trip floor (5 B echo),99,5,15,563169
round-trip floor (5 B echo),100,5,15,446656
round-trip floor (5 B echo),101,5,15,517632
round-trip floor (5 B echo),102,5,15,972589
round-trip floor (5 B echo),103,5,15,420657
round-trip floor (5 B echo),104,5,15,503571
round-trip floor (5 B echo),105,5,15,507966
round-trip floor (5 B echo),106,5,15,546053
round-trip floor (5 B echo),107,5,15,405794
round-trip floor (5 B echo),108,5,15,633885
round-trip floor (5 B echo),109,5,15,668026
round-trip floor (5 B echo),110,5,15,477632
round-trip floor (5 B echo),111,5,15,448498
round-trip floor (5 B echo),112,5,15,387086
round-trip floor (5 B echo),113,5,15,403972
round-trip floor (5 B echo),114,5,15,599093
round-trip floor (5 B echo),115,5,15,594676
round-trip floor (5 B echo),116,5,15,598452
round-trip floor (5 B echo),117,5,15,535668
round-trip floor (5 B echo),118,5,15,428198
round-trip floor (5 B echo),119,5,15,492184
round-trip floor (5 B echo),120,5,15,532744
round-trip floor (5 B echo),121,5,15,368970
round-trip floor (5 B echo),122,5,15,535448
round-trip floor (5 B echo),123,5,15,412585
round-trip floor (5 B echo),124,5,15,434507
round-trip floor (5 B echo),125,5,15,431413
round-trip floor (5 B echo),126,5,15,456270
round-trip floor (5 B echo),127,5,15,410532
round-trip floor (5 B echo),128,5,15,485223
round-trip floor (5 B echo),129,5,15,513425
round-trip floor (5 B echo),130,5,15,425954
round-trip floor (5 B echo),131,5,15,522589
round-trip floor (5 B echo),132,5,15,486185
round-trip floor (5 B echo),133,5,15,420236
round-trip floor (5 B echo),134,5,15,364703
round-trip floor (5 B echo),135,5,15,418523
round-trip floor (5 B echo),136,5,15,503590
round-trip floor (5 B echo),137,5,15,434929
round-trip floor (5 B echo),138,5,15,433005
round-trip floor (5 B echo),139,5,15,418103
round-trip floor (5 B echo),140,5,15,458493
round-trip floor (5 B echo),141,5,15,352816
round-trip floor (5 B echo),142,5,15,449389
round-trip floor (5 B echo),143,5,15,463631
round-trip floor (5 B echo),144,5,15,374498
round-trip floor (5 B echo),145,5,15,468318
round-trip floor (5 B echo),146,5,15,367147
round-trip floor (5 B echo),147,5,15,520616
round-trip floor (5 B echo),148,5,15,558403
round-trip floor (5 B echo),149,5,15,536129
round-trip floor (5 B echo),150,5,15,497702
round-trip floor (5 B echo),151,5,15,441208
round-trip floor (5 B echo),152,5,15,454277
round-trip floor (5 B echo),153,5,15,381869
round-trip floor (5 B echo),154,5,15,390111
round-trip floor (5 B echo),155,5,15,347658
round-trip floor (5 B echo),156,5,15,410051
round-trip floor (5 B echo),157,5,15,342060
round-trip floor (5 B echo),158,5,15,419776
round-trip floor (5 B echo),159,5,15,406296
round-trip floor (5 B echo),160,5,15,437512
round-trip floor (5 B echo),161,5,15,389370
round-trip floor (5 B echo),162,5,15,400376
round-trip floor (5 B echo),163,5,15,452405
round-trip floor (5 B echo),164,5,15,362079
round-trip floor (5 B echo),165,5,15,380557
round-trip floor (5 B echo),166,5,15,397443
round-trip floor (5 B echo),167,5,15,393396
round-trip floor (5 B echo),168,5,15,336522
round-trip floor (5 B echo),169,5,15,340888
round-trip floor (5 B echo),170,5,15,373857
round-trip floor (5 B echo),171,5,15,494286
round-trip floor (5 B echo),172,5,15,386005
round-trip floor (5 B echo),173,5,15,512123
round-trip floor (5 B echo),174,5,15,392785
round-trip floor (5 B echo),175,5,15,477261
round-trip floor (5 B echo),176,5,15,344803
round-trip floor (5 B echo),177,5,15,394678
round-trip floor (5 B echo),178,5,15,448708
round-trip floor (5 B echo),179,5,15,408599
round-trip floor (5 B echo),180,5,15,378655
round-trip floor (5 B echo),181,5,15,401819
round-trip floor (5 B echo),182,5,15,437181
round-trip floor (5 B echo),183,5,15,350412
round-trip floor (5 B echo),184,5,15,385825
round-trip floor (5 B echo),185,5,15,684029
round-trip floor (5 B echo),186,5,15,629378
round-trip floor (5 B echo),187,5,15,392855
round-trip floor (5 B echo),188,5,15,431022
round-trip floor (5 B echo),189,5,15,409120
round-trip floor (5 B echo),190,5,15,335871
round-trip floor (5 B echo),191,5,15,362490
round-trip floor (5 B echo),192,5,15,471903
round-trip floor (5 B echo),193,5,15,451663
round-trip floor (5 B echo),194,5,15,345064
round-trip floor (5 B echo),195,5,15,471363
round-trip floor (5 B echo),196,5,15,388739
round-trip floor (5 B echo),197,5,15,345725
round-trip floor (5 B echo),198,5,15,642517
round-trip floor (5 B echo),199,5,15,421638
push 2 KiB,0,2048,45,710629
push 2 KiB,1,2048,45,621316
push 2 KiB,2,2048,45,999369
push 2 KiB,3,2048,45,752081
push 2 KiB,4,2048,45,1001192
push 2 KiB,5,2048,45,952220
push 2 KiB,6,2048,45,749908
push 2 KiB,7,2048,45,716468
push 2 KiB,8,2048,45,1083685
push 2 KiB,9,2048,45,880953
push 2 KiB,10,2048,45,806873
push 2 KiB,11,2048,45,662147
push 2 KiB,12,2048,45,875975
push 2 KiB,13,2048,45,727955
push 2 KiB,14,2048,45,745491
push 2 KiB,15,2048,45,803979
push 2 KiB,16,2048,45,1013531
push 2 KiB,17,2048,45,1014632
push 2 KiB,18,2048,45,754255
push 2 KiB,19,2048,45,856837
push 2 KiB,20,2048,45,878890
push 2 KiB,21,2048,45,732291
push 2 KiB,22,2048,45,643820
push 2 KiB,23,2048,45,779952
push 2 KiB,24,2048,45,789517
push 2 KiB,25,2048,45,703539
push 2 KiB,26,2048,45,844829
push 2 KiB,27,2048,45,734304
push 2 KiB,28,2048,45,681485
push 2 KiB,29,2048,45,598792
push 2 KiB,30,2048,45,596158
push 2 KiB,31,2048,45,651892
push 2 KiB,32,2048,45,781455
push 2 KiB,33,2048,45,816407
push 2 KiB,34,2048,45,795325
push 2 KiB,35,2048,45,857528
push 2 KiB,36,2048,45,874303
push 2 KiB,37,2048,45,902786
push 2 KiB,38,2048,45,761915
push 2 KiB,39,2048,45,872360
push 2 KiB,40,2048,45,782256
push 2 KiB,41,2048,45,1042563
push 2 KiB,42,2048,45,723138
push 2 KiB,43,2048,45,882215
push 2 KiB,44,2048,45,868704
push 2 KiB,45,2048,45,877999
push 2 KiB,46,2048,45,833463
push 2 KiB,47,2048,45,930257
push 2 KiB,48,2048,45,974773
push 2 KiB,49,2048,45,793082
push 2 KiB,50,2048,45,842776
push 2 KiB,51,2048,45,1126429
push 2 KiB,52,2048,45,1062313
push 2 KiB,53,2048,45,1058237
push 2 KiB,54,2048,45,773913
push 2 KiB,55,2048,45,1096554
push 2 KiB,56,2048,45,1099258
push 2 KiB,57,2048,45,1241200
push 2 KiB,58,2048,45,1028753
push 2 KiB,59,2048,45,836226
push 2 KiB,60,2048,45,1029825
push 2 KiB,61,2048,45,1195682
push 2 KiB,62,2048,45,1467047
push 2 KiB,63,2048,45,968254
push 2 KiB,64,2048,45,866671
push 2 KiB,65,2048,45,1198947
push 2 KiB,66,2048,45,1019609
push 2 KiB,67,2048,45,988553
push 2 KiB,68,2048,45,1167370
push 2 KiB,69,2048,45,899901
push 2 KiB,70,2048,45,928784
push 2 KiB,71,2048,45,1148372
push 2 KiB,72,2048,45,886501
push 2 KiB,73,2048,45,1259938
push 2 KiB,74,2048,45,1425545
push 2 KiB,75,2048,45,1034302
push 2 KiB,76,2048,45,832671
push 2 KiB,77,2048,45,1016395
push 2 KiB,78,2048,45,960611
push 2 KiB,79,2048,45,1060170
push 2 KiB,80,2048,45,1784429
push 2 KiB,81,2048,45,976965
push 2 KiB,82,2048,45,999489
push 2 KiB,83,2048,45,980010
push 2 KiB,84,2048,45,1052529
push 2 KiB,85,2048,45,705992
push 2 KiB,86,2048,45,845280
push 2 KiB,87,2048,45,1181841
push 2 KiB,88,2048,45,829406
push 2 KiB,89,2048,45,837949
push 2 KiB,90,2048,45,696037
push 2 KiB,91,2048,45,984187
push 2 KiB,92,2048,45,1063535
push 2 KiB,93,2048,45,733083
push 2 KiB,94,2048,45,871179
push 2 KiB,95,2048,45,1043766
push 2 KiB,96,2048,45,1087331
push 2 KiB,97,2048,45,1053630
push 2 KiB,98,2048,45,830818
push 2 KiB,99,2048,45,731941
push 2 KiB,100,2048,45,833402
push 2 KiB,101,2048,45,757619
push 2 KiB,102,2048,45,699782
push 2 KiB,103,2048,45,938759
push 2 KiB,104,2048,45,825701
push 2 KiB,105,2048,45,996725
push 2 KiB,106,2048,45,852410
push 2 KiB,107,2048,45,833552
push 2 KiB,108,2048,45,935754
push 2 KiB,109,2048,45,1067350
push 2 KiB,110,2048,45,1118497
push 2 KiB,111,2048,45,791569
push 2 KiB,112,2048,45,930947
push 2 KiB,113,2048,45,882265
push 2 KiB,114,2048,45,1038157
push 2 KiB,115,2048,45,820502
push 2 KiB,116,2048,45,811839
push 2 KiB,117,2048,45,971097
push 2 KiB,118,2048,45,791991
push 2 KiB,119,2048,45,792361
push 2 KiB,120,2048,45,1422820
push 2 KiB,121,2048,45,2423211
push 2 KiB,122,2048,45,868975
push 2 KiB,123,2048,45,912110
push 2 KiB,124,2048,45,868365
push 2 KiB,125,2048,45,726663
push 2 KiB,126,2048,45,869276
push 2 KiB,127,2048,45,1066930
push 2 KiB,128,2048,45,928894
push 2 KiB,129,2048,45,885009
push 2 KiB,130,2048,45,738110
push 2 KiB,131,2048,45,720303
push 2 KiB,132,2048,45,686934
push 2 KiB,133,2048,45,833752
push 2 KiB,134,2048,45,699533
push 2 KiB,135,2048,45,887652
push 2 KiB,136,2048,45,872169
push 2 KiB,137,2048,45,846161
push 2 KiB,138,2048,45,1195702
push 2 KiB,139,2048,45,969835
push 2 KiB,140,2048,45,914734
push 2 KiB,141,2048,45,1101842
push 2 KiB,142,2048,45,834533
push 2 KiB,143,2048,45,760723
push 2 KiB,144,2048,45,632302
push 2 KiB,145,2048,45,568307
push 2 KiB,146,2048,45,635518
push 2 KiB,147,2048,45,786122
push 2 KiB,148,2048,45,772972
push 2 KiB,149,2048,45,763197
push 2 KiB,150,2048,45,1003316
push 2 KiB,151,2048,45,688036
push 2 KiB,152,2048,45,620104
push 2 KiB,153,2048,45,807544
push 2 KiB,154,2048,45,1105107
push 2 KiB,155,2048,45,919400
push 2 KiB,156,2048,45,958028
push 2 KiB,157,2048,45,742496
push 2 KiB,158,2048,45,938649
push 2 KiB,159,2048,45,883427
push 2 KiB,160,2048,45,1058958
push 2 KiB,161,2048,45,803117
push 2 KiB,162,2048,45,876576
push 2 KiB,163,2048,45,594456
push 2 KiB,164,2048,45,778760
push 2 KiB,165,2048,45,829767
push 2 KiB,166,2048,45,831229
push 2 KiB,167,2048,45,912460
push 2 KiB,168,2048,45,816187
push 2 KiB,169,2048,45,768084
push 2 KiB,170,2048,45,928984
push 2 KiB,171,2048,45,683428
push 2 KiB,172,2048,45,690499
push 2 KiB,173,2048,45,758510
push 2 KiB,174,2048,45,904187
push 2 KiB,175,2048,45,741926
push 2 KiB,176,2048,45,840974
push 2 KiB,177,2048,45,807243
push 2 KiB,178,2048,45,1343192
push 2 KiB,179,2048,45,993591
push 2 KiB,180,2048,45,1208732
push 2 KiB,181,2048,45,898670
push 2 KiB,182,2048,45,1396832
push 2 KiB,183,2048,45,1126129
push 2 KiB,184,2048,45,692933
push 2 KiB,185,2048,45,604570
push 2 KiB,186,2048,45,823878
