series,iteration,request_bytes,response_bytes,nanoseconds
round-trip floor (5 B echo),0,5,15,620685
round-trip floor (5 B echo),1,5,15,372536
round-trip floor (5 B echo),2,5,15,429560
round-trip floor (5 B echo),3,5,15,495679
round-trip floor (5 B echo),4,5,15,438153
round-trip floor (5 B echo),5,5,15,625613
round-trip floor (5 B echo),6,5,15,388008
round-trip floor (5 B echo),7,5,15,344484
round-trip floor (5 B echo),8,5,15,440116
round-trip floor (5 B echo),9,5,15,448599
round-trip floor (5 B echo),10,5,15,453275
round-trip floor (5 B echo),11,5,15,495067
round-trip floor (5 B echo),12,5,15,487026
round-trip floor (5 B echo),13,5,15,424533
round-trip floor (5 B echo),14,5,15,347878
round-trip floor (5 B echo),15,5,15,387938
round-trip floor (5 B echo),16,5,15,385965
round-trip floor (5 B echo),17,5,15,520616
round-trip floor (5 B echo),18,5,15,567005
round-trip floor (5 B echo),19,5,15,529730
round-trip floor (5 B echo),20,5,15,324043
round-trip floor (5 B echo),21,5,15,373456
round-trip floor (5 B echo),22,5,15,406716
round-trip floor (5 B echo),23,5,15,373717
round-trip floor (5 B echo),24,5,15,424884
round-trip floor (5 B echo),25,5,15,490080
round-trip floor (5 B echo),26,5,15,420326
round-trip floor (5 B echo),27,5,15,417903
round-trip floor (5 B echo),28,5,15,420316
round-trip floor (5 B echo),29,5,15,299396
round-trip floor (5 B echo),30,5,15,507226
round-trip floor (5 B echo),31,5,15,406015
round-trip floor (5 B echo),32,5,15,285195
round-trip floor (5 B echo),33,5,15,275020
round-trip floor (5 B echo),34,5,15,397943
round-trip floor (5 B echo),35,5,15,363411
round-trip floor (5 B echo),36,5,15,632662
round-trip floor (5 B echo),37,5,15,391513
round-trip floor (5 B echo),38,5,15,380457
round-trip floor (5 B echo),39,5,15,455349
round-trip floor (5 B echo),40,5,15,475599
round-trip floor (5 B echo),41,5,15,388479
round-trip floor (5 B echo),42,5,15,426305
round-trip floor (5 B echo),43,5,15,404713
round-trip floor (5 B echo),44,5,15,448589
round-trip floor (5 B echo),45,5,15,457321
round-trip floor (5 B echo),46,5,15,483561
round-trip floor (5 B echo),47,5,15,639824
round-trip floor (5 B echo),48,5,15,379005
round-trip floor (5 B echo),49,5,15,481758
round-trip floor (5 B echo),50,5,15,528487
round-trip floor (5 B echo),51,5,15,456250
round-trip floor (5 B echo),52,5,15,477221
round-trip floor (5 B echo),53,5,15,448648
round-trip floor (5 B echo),54,5,15,537951
round-trip floor (5 B echo),55,5,15,586364
round-trip floor (5 B echo),56,5,15,793292
round-trip floor (5 B echo),57,5,15,506264
round-trip floor (5 B echo),58,5,15,429690
round-trip floor (5 B echo),59,5,15,412115
round-trip floor (5 B echo),60,5,15,631902
round-trip floor (5 B echo),61,5,15,565743
round-trip floor (5 B echo),62,5,15,542488
round-trip floor (5 B echo),63,5,15,602809
round-trip floor (5 B echo),64,5,15,718040
round-trip floor (5 B echo),65,5,15,495428
round-trip floor (5 B echo),66,5,15,559924
round-trip floor (5 B echo),67,5,15,526686
round-trip floor (5 B echo),68,5,15,888955
round-trip floor (5 B echo),69,5,15,480096
round-trip floor (5 B echo),70,5,15,413396
round-trip floor (5 B echo),71,5,15,550390
round-trip floor (5 B echo),72,5,15,433927
round-trip floor (5 B echo),73,5,15,628247
round-trip floor (5 B echo),74,5,15,530000
round-trip floor (5 B echo),75,5,15,621306
round-trip floor (5 B echo),76,5,15,572613
round-trip floor (5 B echo),77,5,15,737078
round-trip floor (5 B echo),78,5,15,572944
round-trip floor (5 B echo),79,5,15,633604
round-trip floor (5 B echo),80,5,15,417342
round-trip floor (5 B echo),81,5,15,512815
round-trip floor (5 B echo),82,5,15,504072
round-trip floor (5 B echo),83,5,15,421689
round-trip floor (5 B echo),84,5,15,455088
round-trip floor (5 B echo),85,5,15,410833
round-trip floor (5 B echo),86,5,15,491713
round-trip floor (5 B echo),87,5,15,489680
round-trip floor (5 B echo),88,5,15,360337
round-trip floor (5 B echo),89,5,15,587926
round-trip floor (5 B echo),90,5,15,307749
round-trip floor (5 B echo),91,5,15,438854
round-trip floor (5 B echo),92,5,15,355650
round-trip floor (5 B echo),93,5,15,540766
round-trip floor (5 B echo),94,5,15,387547
round-trip floor (5 B echo),95,5,15,553525
round-trip floor (5 B echo),96,5,15,486115
round-trip floor (5 B echo),97,5,15,537451
round-trip floor (5 B echo),98,5,15,318344
round-trip floor (5 B echo),99,5,15,377062
round-trip floor (5 B echo),100,5,15,348539
round-trip floor (5 B echo),101,5,15,385575
round-trip floor (5 B echo),102,5,15,443361
round-trip floor (5 B echo),103,5,15,399416
round-trip floor (5 B echo),104,5,15,359686
round-trip floor (5 B echo),105,5,15,409951
round-trip floor (5 B echo),106,5,15,572203
round-trip floor (5 B echo),107,5,15,402320
round-trip floor (5 B echo),108,5,15,410983
round-trip floor (5 B echo),109,5,15,356040
round-trip floor (5 B echo),110,5,15,528748
round-trip floor (5 B echo),111,5,15,505944
round-trip floor (5 B echo),112,5,15,262120
round-trip floor (5 B echo),113,5,15,468588
round-trip floor (5 B echo),114,5,15,452995
round-trip floor (5 B echo),115,5,15,440897
round-trip floor (5 B echo),116,5,15,494827
round-trip floor (5 B echo),117,5,15,377082
round-trip floor (5 B echo),118,5,15,387868
round-trip floor (5 B echo),119,5,15,405684
round-trip floor (5 B echo),120,5,15,621446
round-trip floor (5 B echo),121,5,15,485023
round-trip floor (5 B echo),122,5,15,522749
round-trip floor (5 B echo),123,5,15,498853
round-trip floor (5 B echo),124,5,15,437672
round-trip floor (5 B echo),125,5,15,443842
round-trip floor (5 B echo),126,5,15,575037
round-trip floor (5 B echo),127,5,15,441588
round-trip floor (5 B echo),128,5,15,696668
round-trip floor (5 B echo),129,5,15,584491
round-trip floor (5 B echo),130,5,15,770849
round-trip floor (5 B echo),131,5,15,447557
round-trip floor (5 B echo),132,5,15,615708
round-trip floor (5 B echo),133,5,15,389891
round-trip floor (5 B echo),134,5,15,663368
round-trip floor (5 B echo),135,5,15,704811
round-trip floor (5 B echo),136,5,15,669287
round-trip floor (5 B echo),137,5,15,460676
round-trip floor (5 B echo),138,5,15,669418
round-trip floor (5 B echo),139,5,15,646643
round-trip floor (5 B echo),140,5,15,687444
round-trip floor (5 B echo),141,5,15,638511
round-trip floor (5 B echo),142,5,15,653143
round-trip floor (5 B echo),143,5,15,611831
round-trip floor (5 B echo),144,5,15,400257
round-trip floor (5 B echo),145,5,15,494917
round-trip floor (5 B echo),146,5,15,548968
round-trip floor (5 B echo),147,5,15,585573
round-trip floor (5 B echo),148,5,15,465954
round-trip floor (5 B echo),149,5,15,495017
round-trip floor (5 B echo),150,5,15,508148
round-trip floor (5 B echo),151,5,15,547006
round-trip floor (5 B echo),152,5,15,422109
round-trip floor (5 B echo),153,5,15,611461
round-trip floor (5 B echo),154,5,15,512704
round-trip floor (5 B echo),155,5,15,451723
round-trip floor (5 B echo),156,5,15,518132
round-trip floor (5 B echo),157,5,15,457813
round-trip floor (5 B echo),158,5,15,559474
round-trip floor (5 B echo),159,5,15,537821
round-trip floor (5 B echo),160,5,15,425784
round-trip floor (5 B echo),161,5,15,385124
round-trip floor (5 B echo),162,5,15,418143
round-trip floor (5 B echo),163,5,15,453586
round-trip floor (5 B echo),164,5,15,610449
round-trip floor (5 B echo),165,5,15,504472
round-trip floor (5 B echo),166,5,15,368249
round-trip floor (5 B echo),167,5,15,790208
round-trip floor (5 B echo),168,5,15,611932
round-trip floor (5 B echo),169,5,15,657520
round-trip floor (5 B echo),170,5,15,874243
round-trip floor (5 B echo),171,5,15,478533
round-trip floor (5 B echo),172,5,15,373006
round-trip floor (5 B echo),173,5,15,498523
round-trip floor (5 B echo),174,5,15,605572
round-trip floor (5 B echo),175,5,15,518273
round-trip floor (5 B echo),176,5,15,604681
round-trip floor (5 B echo),177,5,15,506765
round-trip floor (5 B echo),178,5,15,409180
round-trip floor (5 B echo),179,5,15,442529
round-trip floor (5 B echo),180,5,15,1259768
round-trip floor (5 B echo),181,5,15,650900
round-trip floor (5 B echo),182,5,15,851989
round-trip floor (5 B echo),183,5,15,703258
round-trip floor (5 B echo),184,5,15,802206
round-trip floor (5 B echo),185,5,15,493826
round-trip floor (5 B echo),186,5,15,398414
round-trip floor (5 B echo),187,5,15,736348
round-trip floor (5 B echo),188,5,15,591962
round-trip floor (5 B echo),189,5,15,761155
round-trip floor (5 B echo),190,5,15,345555
round-trip floor (5 B echo),191,5,15,529018
round-trip floor (5 B echo),192,5,15,622928
round-trip floor (5 B echo),193,5,15,498633
round-trip floor (5 B echo),194,5,15,820943
round-trip floor (5 B echo),195,5,15,681305
round-trip floor (5 B echo),196,5,15,682397
round-trip floor (5 B echo),197,5,15,521327
round-trip floor (5 B echo),198,5,15,540576
round-trip floor (5 B echo),199,5,15,742046
push 2 KiB,0,2048,45,934883
push 2 KiB,1,2048,45,885409
push 2 KiB,2,2048,45,1422791
push 2 KiB,3,2048,45,1240990
push 2 KiB,4,2048,45,723879
push 2 KiB,5,2048,45,783668
push 2 KiB,6,2048,45,774805
push 2 KiB,7,2048,45,719292
push 2 KiB,8,2048,45,965609
push 2 KiB,9,2048,45,969575
push 2 KiB,10,2048,45,704790
push 2 KiB,11,2048,45,830107
push 2 KiB,12,2048,45,734695
push 2 KiB,13,2048,45,1241821
push 2 KiB,14,2048,45,1362671
push 2 KiB,15,2048,45,950737
push 2 KiB,16,2048,45,936476
push 2 KiB,17,2048,45,1285726
push 2 KiB,18,2048,45,1091176
push 2 KiB,19,2048,45,1011257
push 2 KiB,20,2048,45,1123314
push 2 KiB,21,2048,45,1104286
push 2 KiB,22,2048,45,1017816
push 2 KiB,23,2048,45,792211
push 2 KiB,24,2048,45,661225
push 2 KiB,25,2048,45,938639
push 2 KiB,26,2048,45,1006129
push 2 KiB,27,2048,45,1166769
push 2 KiB,28,2048,45,919951
push 2 KiB,29,2048,45,812972
push 2 KiB,30,2048,45,761656
push 2 KiB,31,2048,45,683448
push 2 KiB,32,2048,45,830909
push 2 KiB,33,2048,45,939851
push 2 KiB,34,2048,45,678050
push 2 KiB,35,2048,45,840743
push 2 KiB,36,2048,45,1030005
push 2 KiB,37,2048,45,1030756
push 2 KiB,38,2048,45,1009315
push 2 KiB,39,2048,45,862074
push 2 KiB,40,2048,45,856126
push 2 KiB,41,2048,45,804920
push 2 KiB,42,2048,45,896747
push 2 KiB,43,2048,45,764159
push 2 KiB,44,2048,45,761776
push 2 KiB,45,2048,45,732501
push 2 KiB,46,2048,45,938619
push 2 KiB,47,2048,45,918038
push 2 KiB,48,2048,45,634645
push 2 KiB,49,2048,45,848404
push 2 KiB,50,2048,45,740393
push 2 KiB,51,2048,45,1081051
push 2 KiB,52,2048,45,1044356
push 2 KiB,53,2048,45,1071106
push 2 KiB,54,2048,45,741434
push 2 KiB,55,2048,45,1033640
push 2 KiB,56,2048,45,1132468
push 2 KiB,57,2048,45,1111256
push 2 KiB,58,2048,45,1305096
push 2 KiB,59,2048,45,896616
push 2 KiB,60,2048,45,1066099
push 2 KiB,61,2048,45,964297
push 2 KiB,62,2048,45,1166759
push 2 KiB,63,2048,45,1087451
push 2 KiB,64,2048,45,811790
push 2 KiB,65,2048,45,779422
push 2 KiB,66,2048,45,844770
push 2 KiB,67,2048,45,802937
push 2 KiB,68,2048,45,891118
push 2 KiB,69,2048,45,1162933
push 2 KiB,70,2048,45,723729
push 2 KiB,71,2048,45,1256222
push 2 KiB,72,2048,45,941724
push 2 KiB,73,2048,45,1013641
push 2 KiB,74,2048,45,1254089
push 2 KiB,75,2048,45,1205367
push 2 KiB,76,2048,45,984177
push 2 KiB,77,2048,45,871078
push 2 KiB,78,2048,45,1015493
push 2 KiB,79,2048,45,1040341
push 2 KiB,80,2048,45,1109313
push 2 KiB,81,2048,45,1132638
push 2 KiB,82,2048,45,914453
push 2 KiB,83,2048,45,1043064
push 2 KiB,84,2048,45,918118
push 2 KiB,85,2048,45,871709
push 2 KiB,86,2048,45,807644
push 2 KiB,87,2048,45,568408
push 2 KiB,88,2048,45,881954
push 2 KiB,89,2048,45,649488
push 2 KiB,90,2048,45,706673
push 2 KiB,91,2048,45,998849
push 2 KiB,92,2048,45,866952
push 2 KiB,93,2048,45,908525
push 2 KiB,94,2048,45,1027211
push 2 KiB,95,2048,45,817048
push 2 KiB,96,2048,45,990176
push 2 KiB,97,2048,45,1142813
push 2 KiB,98,2048,45,874714
push 2 KiB,99,2048,45,936896
push 2 KiB,100,2048,45,872079
push 2 KiB,101,2048,45,717640
push 2 KiB,102,2048,45,815115
push 2 KiB,103,2048,45,1954162
push 2 KiB,104,2048,45,1202412
push 2 KiB,105,2048,45,1146518
push 2 KiB,106,2048,45,1860813
push 2 KiB,107,2048,45,915895
push 2 KiB,108,2048,45,869075
push 2 KiB,109,2048,45,548868
push 2 KiB,110,2048,45,534877
push 2 KiB,111,2048,45,801775
push 2 KiB,112,2048,45,1805631
push 2 KiB,113,2048,45,1240459
push 2 KiB,114,2048,45,1352415
push 2 KiB,115,2048,45,2077696
push 2 KiB,116,2048,45,1300989
push 2 KiB,117,2048,45,667455
push 2 KiB,118,2048,45,1044927
push 2 KiB,119,2048,45,869546
push 2 KiB,120,2048,45,791630
push 2 KiB,121,2048,45,831920
push 2 KiB,122,2048,45,632533
push 2 KiB,123,2048,45,693403
push 2 KiB,124,2048,45,627155
push 2 KiB,125,2048,45,790849
push 2 KiB,126,2048,45,804599
push 2 KiB,127,2048,45,719222
push 2 KiB,128,2048,45,551072
push 2 KiB,129,2048,45,541427
push 2 KiB,130,2048,45,1140610
push 2 KiB,131,2048,45,1054542
push 2 KiB,132,2048,45,769677
push 2 KiB,133,2048,45,844759
push 2 KiB,134,2048,45,1578822
push 2 KiB,135,2048,45,740374
push 2 KiB,136,2048,45,594807
push 2 KiB,137,2048,45,849817
push 2 KiB,138,2048,45,872260
push 2 KiB,139,2048,45,700454
push 2 KiB,140,2048,45,867443
push 2 KiB,141,2048,45,689428
push 2 KiB,142,2048,45,688997
push 2 KiB,143,2048,45,794174
push 2 KiB,144,2048,45,747814
push 2 KiB,145,2048,45,795586
push 2 KiB,146,2048,45,784690
push 2 KiB,147,2048,45,777338
push 2 KiB,148,2048,45,741425
push 2 KiB,149,2048,45,1151066
push 2 KiB,150,2048,45,735375
push 2 KiB,151,2048,45,762957
push 2 KiB,152,2048,45,820633
push 2 KiB,153,2048,45,1013331
push 2 KiB,154,2048,45,1000701
push 2 KiB,155,2048,45,996545
push 2 KiB,156,2048,45,994993
push 2 KiB,157,2048,45,640856
push 2 KiB,158,2048,45,682498
push 2 KiB,159,2048,45,792551
push 2 KiB,160,2048,45,678742
push 2 KiB,161,2048,45,889305
push 2 KiB,162,2048,45,550941
push 2 KiB,163,2048,45,427407
push 2 KiB,164,2048,45,516289
push 2 KiB,165,2048,45,523179
push 2 KiB,166,2048,45,845430
push 2 KiB,167,2048,45,587576
push 2 KiB,168,2048,45,611562
push 2 KiB,169,2048,45,686223
